CUL	LATITUDE	LONGITUDE	NAME
11745	37.9568965	23.7246066	ΝΕΟΣ ΚΟΣΜΟΣ
11851	37.9758184	23.719245	ΘΗΣΕΙΟ
11852	37.9683465	23.7116423	ΠΕΤΡΑΛΩΝΑ ΑΝΩ
11853	37.9719133	23.7069358	ΠΕΤΡΑΛΩΝΑ ΚΑΤΩ
11854	37.984223	23.6923609	ΡΟΥΦ ΚΑΤΩ ΠΕΤΡΑΛΩΝΑ
11855	37.9823937	23.6961977	ΒΟΤΑΝΙΚΟΣ
12131	37.9994163	23.6901635	ΠΕΡΙΣΤΕΡΙΒΙΑΜΑΞ
12132	38.0061651	23.7068523	ΠΕΡΙΣΤΕΡΙ ΝΕΑ ΚΟΛΟΚΥΝΘ
12133	38.0151396	23.7046099	ΝΕΑ ΣΕΠΟΛΙΑ ΠΕΡΙΣΤΕΡ
12134	38.0117014	23.6957128	ΠΕΡΙΣΤΕΡΙ
12135	38.0226558	23.6880042	ΠΕΡΙΣΤΕΡΙ
12136	38.0078308	23.6823818	ΠΕΡΙΣΤΕΡΙ
12137	37.9996433	23.6859723	ΠΕΡΙΣΤΕΡΙ ΝΕΑ ΖΩΗ
12241	37.9894728	23.6789292	ΑΙΓΑΛΕΩ
12242	37.9987666	23.68863	ΑΙΓΑΛΕΩ ΣΩΤΗΡΑΚΗ
12243	38.002842	23.6796924	ΑΙΓΑΛΕΩ ΑΝΑΓΕΝΝΗΣΗ
12244	37.9910674	23.6707902	ΑΙΓΑΛΕΩ
12351	37.9890595	23.6569691	ΑΓΙΑ ΒΑΡΒΑΡΑ
12461	38.0052981	23.6642751	ΧΑΙΔΑΡΙ
12462	38.0159263	23.6476468	ΧΑΙΔΑΡΙ ΔΑΣΟΣ
13121	38.0269674	23.6925299	ΝΕΑ ΛΙΟΣΙΑ ΠΑΛΑΤΙΑΝΗ
13122	38.0203126	23.7095937	ΝΕΑ ΛΙΟΣΙΑ ΑΓΙΑ ΦΑΝΟΥΡΙ
13123	38.0374707	23.6978864	ΝΕΑ ΛΙΟΣΙΑ
13231	38.0423558	23.6842658	ΠΕΤΡΟΥΠΟΛΗ
13232	38.0379734	23.6928868	ΠΕΤΡΟΥΠΟΛΗ
13341	38.0807098	23.706755	ΑΝΩ ΛΙΟΣΙΑ
13342	38.0737425	23.7048175	ΜΕΝΙΔΙ
13343	38.0879825	23.6957867	ΜΕΝΙΔΙ
13344	38.0682525	23.7049521	ΑΝΩ ΛΙΟΣΙΑ
13351	38.102909	23.6690367	ΦΥΛΗ
13451	38.0708633	23.7082439	ΖΕΦΥΡΙ
13461	38.0656555	23.7191262	ΖΕΦΥΡΙ
13501	38.0656555	23.7191262	ΖΕΦΥΡΙ
13561	38.0281846	23.7184029	ΑΓΙΑ ΑΝΑΡΓΥΡΟΙ
13562	38.0368388	23.7276852	ΑΓΙΑ ΑΝΑΡΓΥΡΟΙ
13671	38.1660001	23.6743801	ΠΑΡΝΗΘΑ ΦΥΛΗ
13672	38.0852204	23.738064	ΜΕΝΙΔΙ
13673	38.0846952	23.7406599	ΜΕΝΙΔΙ
13674	38.0920609	23.7329259	ΜΕΝΙΔΙ
13675	38.0838408	23.7348483	ΜΕΝΙΔΙ
13676	38.1303168	23.7587269	ΜΕΝΙΔΙ
13677	38.1101145	23.7683491	ΟΛΥΜΠΙΑΚΟ ΧΩΡΙΟ
13678	38.1115783	23.7631177	ΟΛΥΜΠΙΑΚΟ ΧΩΡΙΟ
13679	38.1079192	23.7631182	ΟΛΥΜΠΙΑΚΟ ΧΩΡΙΟ
14121	38.0472708	23.7714547	ΗΡΑΚΛΕΙΟ ΝΕΑ ΗΡΑΚΛΕΙΟ
14122	38.0511604	23.7680577	ΗΡΑΚΛΕΙΟ
14123	38.0673903	23.7813182	ΜΕΤΑΜΟΡΦΩΣΗ ΛΥΚΟΒΡΥΣ
14231	38.0441541	23.7501561	ΝΕΑ ΙΩΝΙΑ ΙΩΝΙΑ
14232	38.0330559	23.7498118	ΝΕΑ ΙΩΝΙΑ
14233	38.0314024	23.7618449	ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ
14234	38.0410095	23.7578668	ΝΕΑ ΙΩΝΙΑ ΕΛΕΥΘΕΡΟΥΠΟΛ
14235	38.0350363	23.7759925	ΝΕΑ ΙΩΝΙΑ ΚΑΛΟΓΡΕΖΑ
