CUL	LATITUDE	LONGITUDE	NAME
3262	46.1255	15.4774	Prevorje
3263	46.1872	15.4325	Gorica pri Slivnici
3264	46.1862	15.4933	Sveti Štefan
3270	46.1546	15.2355	Laško
3271	46.1714	15.3494	Šentrupert
3272	46.1226	15.1919	Rimske Toplice
3273	46.0917	15.3367	Jurklošter
3301	46.2417	15.19	Petrovče
3302	46.2294	15.1506	Griže
3303	46.2528	15.0422	Gomilsko
3304	46.2361	15.0183	Tabor
3305	46.2439	14.9514	Vransko
3310	46.2515	15.1648	Žalec
3311	46.2654	15.0907	Šempeter v Savinjski dolini
3312	46.2369	15.0925	Prebold
3313	46.2833	15.0667	Polzela
3314	46.2897	15.0389	Braslovče
3320	46.3712	15.0345	Velenje - dostava
3322	46.3712	15.0345	Velenje - poštni predali
3325	46.38	15.0486	Šoštanj
3326	46.4003	15.0216	Topolšica
3327	46.3333	15.0333	Šmartno ob Paki
3330	46.3394	14.9633	Mozirje
3331	46.3176	14.9467	Nazarje
3332	46.3167	14.9167	Rečica ob Savinji
3333	46.3436	14.8338	Ljubno ob Savinji
3334	46.3561	14.7467	Luče
3335	46.4194	14.6936	Solčava
3341	46.2839	14.8903	Šmartno ob Dreti
3342	46.2953	14.8083	Gornji Grad
3502	46.2309	15.2604	Celje
3503	46.3592	15.1103	Velenje
3504	46.3592	15.1103	Velenje
3505	46.2309	15.2604	Celje
3600	46.2309	15.2604	Celje
4000	46.2389	14.3556	Kranj - dostava
4001	46.2389	14.3556	Kranj - poštni predali
4201	46.2667	14.2833	Zgornja Besnica
4202	46.2728	14.3172	Naklo
4203	46.2821	14.3831	Duplje
4204	46.3333	14.3333	Golnik
4205	46.3025	14.4231	Preddvor
4206	46.3833	14.4667	Zgornje Jezersko
4207	46.2542	14.4886	Cerklje na Gorenjskem
4208	46.2456	14.4197	Šenčur
4209	46.1986	14.3331	Žabnica
4210	46.2264	14.4064	Brnik aerodrom
4211	46.1818	14.3948	Mavčiče
4212	46.2711	14.4181	Visoko
4220	46.1655	14.3063	Škofja Loka
4223	46.121	14.1862	Poljane nad Škofjo Loko
4224	46.1667	14.15	Gorenja vas
4225	46.0864	14.0436	Sovodenj
4226	46.0422	14.1072	Žiri
4227	46.2244	14.2056	Selca
4228	46.2333	14.1667	Železniki
4229	46.2167	14.0333	Sorica
4240	46.3444	14.1744	Radovljica
4243	46.329	14.2323	Brezje
4244	46.2952	14.2557	Podnart
4245	46.3	14.2	Kropa
4246	46.3167	14.2	Kamna Gorica
4247	46.3796	14.0694	Zgornje Gorje
4248	46.3611	14.1578	Lesce
4260	46.3692	14.1136	Bled
4263	46.3489	14.0639	Bohinjska Bela
4264	46.2722	13.9535	Bohinjska Bistrica
4265	46.3218	14.0141	Bohinjsko jezero
4267	46.297	13.9256	Srednja vas v Bohinju
4270	46.4306	14.0669	Jesenice
4273	46.4	14.1	Blejska Dobrava
4274	46.4047	14.14	Žirovnica
4275	46.3833	14.2167	Begunje na Gorenjskem
4276	46.445	14.0178	Hrušica
4280	46.4839	13.7894	Kranjska Gora
4281	46.4611	13.9369	Mojstrana
4282	46.4833	13.8333	Gozd Martuljek
4283	46.4761	13.8532	Rateče-Planica
4290	46.3636	14.3105	Tržič
4294	46.3428	14.3014	Križe
4501	46.2728	14.3172	Naklo
4502	46.2389	14.3556	Kranj
4600	46.2389	14.3556	Kranj
5000	45.958	13.6469	Nova Gorica - dostava
5001	45.9431	13.6393	Nova Gorica - poštni predali
5210	46.0531	13.6138	Deskle
5211	46.0092	13.5797	Kojsko
5212	45.9964	13.5264	Dobrovo v Brdih
5213	46.0886	13.6397	Kanal
5214	46.0833	13.7403	Kal nad Kanalom
5215	46.1128	13.67	Ročinj
5216	46.1469	13.7389	Most na Soči
5220	46.183	13.7332	Tolmin
5222	46.2481	13.5772	Kobarid
5223	46.2647	13.4278	Breginj
5224	46.2917	13.4988	Srpenica
5230	46.3375	13.5528	Bovec
5231	46.4019	13.5969	Log pod Mangartom
5232	46.3433	13.6564	Soča
5242	46.1539	13.8619	Grahovo ob Bači
5243	46.21	13.9644	Podbrdo
5250	45.9714	13.6494	Solkan
5251	45.9986	13.6739	Grgar
5252	45.9742	13.7433	Trnovo pri Gorici
5253	46.0494	13.7969	Čepovan
5261	45.9303	13.7436	Šempas
5262	45.9106	13.7767	Črniče
5263	45.8839	13.8453	Dobravlje
5270	45.886	13.9095	Ajdovščina
5271	45.8467	13.9631	Vipava
5272	45.7969	13.9714	Podnanos
5273	45.8758	14.005	Col
5274	45.8726	13.9885	Črni Vrh nad Idrijo
5275	45.9578	14.0936	Godovič
5280	46.0028	14.0306	Idrija
5281	46.0319	14.0272	Spodnja Idrija
5282	46.1256	13.9817	Cerkno
5283	46.1233	13.8047	Slap ob Idrijci
5290	45.9275	13.6411	Šempeter pri Gorici
5291	45.8956	13.6075	Miren
5292	45.89	13.6686	Renče
5293	45.9069	13.6775	Volčja Draga
5294	45.8897	13.7369	Dornberk
5295	45.8572	13.7842	Branik
5296	45.845	13.6417	Kostanjevica na Krasu
5297	45.89	13.7181	Prvačina
5600	45.956	13.6484	Nova Gorica
6000	45.5538	13.7439	Koper/Capodistria - dostava
6001	45.5472	13.7258	Koper/Capodistria - poštni predali
6210	45.7092	13.8733	Sežana
6215	45.6847	13.9703	Divača
6216	45.5292	13.9528	Podgorje
6217	45.6571	14.0301	Vremski Britof
