CUL	LONGITUDE	LATITUDE	NAME
5007	19.8760275	40.7719945	Zyra Postare Ura Vajgurore
5008	19.8443153	40.7829351	Zyra Postare Poshnje
5009	19.7922362	40.7851671	Zyra Postare Kutalli
5010	19.9348885	40.7440491	Zyra Postare Otllak
5011	19.8682853	40.648359	Zyra Postare Sinje
5012	19.9343516	40.7015325	Zyra Postare Velabisht
5013	19.9994237	40.8172241	Zyra Postare Lumas
5014	20.0431919	40.73056	Zyra Postare Roshnik
5015	20.027173	40.5556645	Zyra Postare Terpan
5016	20.0502827	40.6332058	Zyra Postare Mbrakull
5017	20.0517912	40.63844	Zyra Postare Vertop 1
5018	19.7899994	40.729537	Zyra Postare Cukalat
5019	19.7899994	40.729537	Zyra Postare Cukalat 1
5020	19.9480851	40.7550782	Zyra Postare Lapardha
5021	19.801	40.840489	Zyra Postare Ura e Kucit
5022	19.8201687	40.8235036	Zyra Postare Syzez
5301	19.913724	40.806009	Zyra Postare Kucove Qender
5302	19.9134448	40.804415	Zyra Postare Kucove 2
5303	19.9134448	40.804415	Zyra Postare Kucove 3
5304	19.9134448	40.804415	Zyra Postare Kucove 4
5305	19.9025871	40.8336458	Zyra Postare Kozare
5306	19.9222363	40.7791212	Zyra Postare Perondi
5307	19.9288509	40.8361747	Zyra Postare Gege
5308	19.8856811	40.794977	Zyra Postare Tapi
5401	20.227107	40.50309	Zyra Postare Çorovode Qender
5402	20.2283496	40.5036229	Zyra Postare Çorovode 2
5403	20.0982125	40.6141567	Zyra Postare Polican 1
5404	20.0982125	40.6141567	Zyra Postare Polican 2
5405	20.1465409	40.5707974	Zyra Postare Bogove
5406	20.2625737	40.4220452	Zyra Postare Cepan
5407	20.3729964	40.4885025	Zyra Postare Potom
5408	20.2548538	40.6312389	Zyra Postare Gjerbes
5409	20.145733	40.503389	Zyra Postare Vendresh
5410	20.6656126	40.9014715	Zyra Postare Konak
5411	20.206193	40.524264	Zyra Postare Verzhezh
5412	20.311059	40.513074	Zyra Postare Velush
5413	20.2550814	40.5389203	Zyra Postare Radesh
6001	19.36165006	42.2015792	Zyra Postare Qender
6002	20.1393359	40.0770871	Zyra Postare Gjirokastra 1
6003	20.2625887	40.0335865	Zyra Postare Libohove
6004	20.1506355	40.0486634	Zyra Postare Lazarat
6005	20.2140208	39.9917663	Zyra Postare Sofratike
6006	20.3451266	39.8954149	Zyra Postare Vrisera
6007	20.0982125	40.6141567	Zyra Postare Polican
6008	20.1651031	40.1575391	Zyra Postare Erind
6009	20.103372	40.1596877	Zyra Postare Palokaster
6010	20.1763036	40.032992	Zyra Postare Dervican
6011	20.2648206	39.9377538	Zyra Postare Jorgucat
6012	20.2919956	40.1817783	Zyra Postare Nivan
6013	20.1356087	40.1263336	Zyra Postare Valare
6014	20.0947839	40.1492499	Zyra Postare Ura e Kardhiqit
6015	20.3002796	40.069361	Zyra Postare Labove
6016	20.2553952	40.0741703	Zyra Postare Suhe
6017	20.21875894	40.10062115	Zyra Postare Antigone
6018	20.1841939	40.1224322	Zyra Postare Dhoksat
6019	20.0501639	40.1691123	Zyra Postare Picar
6301	19.99791021	40.2873919	Zyra Postare Qender Tepelene
6302	19.979299	40.350155	Zyra Postare Qender Memaliaj
6303	19.8888993	40.22309	Zyra Postare Gusmar
6304	19.9937314	40.6163252	Zyra Postare Buze
6305	20.1564073	41.2305779	Zyra Postare Sinanaj
6306	19.9542141	40.4393917	Zyra Postare Luftinje
6307	19.8505404	40.43207	Zyra Postare Krahes
