CUL	LONGITUDE	LATITUDE	NAME	Unnamed: 4
010282	26.101290	44.441020	Bucuresti	
010283	26.101290	44.441020	Bucuresti	
010284	26.101290	44.441020	Bucuresti	
010285	26.097570	44.441740	Bucuresti	
010286	26.097570	44.441740	Bucuresti	
010287	26.097880	44.441200	Bucuresti	
010288	26.097880	44.441200	Bucuresti	
010289	26.093020	44.448280	Bucuresti	
010291	26.096780	44.441400	Bucuresti	
010292	26.096390	44.441330	Bucuresti	
010293	26.096390	44.441330	Bucuresti	
010294	26.098390	44.441970	Bucuresti	
010295	26.096350	44.441750	Bucuresti	
010296	26.096350	44.441750	Bucuresti	
010297	26.093020	44.448280	Bucuresti	
010298	26.095370	44.442860	Bucuresti	
010301	26.096630	44.442900	Bucuresti	
010302	26.096630	44.442900	Bucuresti	
010303	26.096630	44.442900	Bucuresti	
010304	26.096630	44.442900	Bucuresti	
010305	26.096630	44.442900	Bucuresti	
010306	26.096630	44.442900	Bucuresti	
010307	26.096630	44.442900	Bucuresti	
010308	26.096630	44.442900	Bucuresti	
010311	26.097890	44.442610	Bucuresti	
010312	26.097890	44.442610	Bucuresti	
010313	26.097890	44.442610	Bucuresti	
010314	26.097890	44.442610	Bucuresti	
010321	26.098230	44.443920	Bucuresti	
010322	26.098230	44.443920	Bucuresti	
010323	26.098230	44.443920	Bucuresti	
010324	26.098230	44.443920	Bucuresti	
010325	26.098230	44.443920	Bucuresti	
010326	26.098230	44.443920	Bucuresti	
010331	26.098230	44.443920	Bucuresti	
010332	26.098230	44.443920	Bucuresti	
010333	26.098230	44.443920	Bucuresti	
010334	26.098230	44.443920	Bucuresti	
010335	26.098230	44.443920	Bucuresti	
010336	26.098230	44.443920	Bucuresti	
010337	26.098230	44.443920	Bucuresti	
010341	26.095100	44.442200	Bucuresti	
010342	26.094620	44.443600	Bucuresti	
010343	26.094620	44.443600	Bucuresti	
010344	26.094620	44.443600	Bucuresti	
010345	26.094620	44.443600	Bucuresti	
010346	26.093020	44.448280	Bucuresti	
010351	26.097450	44.444340	Bucuresti	
010352	26.097450	44.444340	Bucuresti	
010353	26.097450	44.444340	Bucuresti	
010354	26.097450	44.444340	Bucuresti	
010355	26.097450	44.444340	Bucuresti	
010361	26.096510	44.444720	Bucuresti	
010362	26.096510	44.444720	Bucuresti	
010363	26.096510	44.444720	Bucuresti	
010364	26.096510	44.444720	Bucuresti	
010365	26.096510	44.444720	Bucuresti	
010366	26.096510	44.444720	Bucuresti	
010367	26.096510	44.444720	Bucuresti	
010371	26.096810	44.446580	Bucuresti	
010372	26.096810	44.446580	Bucuresti	
010373	26.096810	44.446580	Bucuresti	
010374	26.096810	44.446580	Bucuresti	
010375	26.096810	44.446580	Bucuresti	
010381	26.093940	44.445270	Bucuresti	
010382	26.093940	44.445270	Bucuresti	
010383	26.093940	44.445270	Bucuresti	
